1,United States,2024-03-17 01:13:00.000000
2,Australia,2024-03-17 01:13:00.000000
3,Germany,2024-03-17 01:13:00.000000
4,Senegal,2024-03-17 01:13:00.000000
5,New Zealand,2024-03-17 01:13:00.000000
6,Afghanistan,2024-03-17 01:13:00.000000
7,Saudi Arabia,2024-03-17 01:13:00.000000
8,Brazil,2024-03-17 01:13:00.000000
9,China,2024-03-17 01:13:00.000000
10,France,2024-03-17 01:13:00.000000
11,Italy,2024-03-17 01:13:00.000000
12,Tanzania,2024-03-17 01:13:00.000000
13,Poland,2024-03-17 01:13:00.000000
14,United Kingdom,2024-03-17 01:13:00.000000
15,Mexico,2024-03-17 01:13:00.000000
16,El Salvador,2024-03-17 01:13:00.000000
17,Taiwan,2024-03-17 01:13:00.000000
18,India,2024-03-17 01:13:00.000000
19,Dominican Republic,2024-03-17 01:13:00.000000
20,Democratic Republic of the Congo,2024-03-17 01:13:00.000000
21,Indonesia,2024-03-17 01:13:00.000000
22,Uruguay,2024-03-17 01:13:00.000000
23,Iran,2024-03-17 01:13:00.000000
24,Mozambique,2024-03-17 01:13:00.000000
25,Bangladesh,2024-03-17 01:13:00.000000
26,Spain,2024-03-17 01:13:00.000000
27,Ukraine,2024-03-17 01:13:00.000000
28,Nicaragua,2024-03-17 01:13:00.000000
29,Morocco,2024-03-17 01:13:00.000000
30,Philippines,2024-03-17 01:13:00.000000
31,Austria,2024-03-17 01:13:00.000000
32,Colombia,2024-03-17 01:13:00.000000
33,Netherlands,2024-03-17 01:13:00.000000
34,Malaysia,2024-03-17 01:13:00.000000
35,Ecuador,2024-03-17 01:13:00.000000
36,Thailand,2024-03-17 01:13:00.000000
37,Somalia,2024-03-17 01:13:00.000000
38,Guatemala,2024-03-17 01:13:00.000000
39,Belarus,2024-03-17 01:13:00.000000
40,Cambodia,2024-03-17 01:13:00.000000
41,South Africa,2024-03-17 01:13:00.000000
42,Canada,2024-03-17 01:13:00.000000
43,Japan,2024-03-17 01:13:00.000000
44,Russia,2024-03-17 01:13:00.000000
45,Egypt,2024-03-17 01:13:00.000000
46,Azerbaijan,2024-03-17 01:13:00.000000
47,Lithuania,2024-03-17 01:13:00.000000
48,Argentina,2024-03-17 01:13:00.000000
49,Lesotho,2024-03-17 01:13:00.000000
50,Vietnam,2024-03-17 01:13:00.000000
51,Cuba,2024-03-17 01:13:00.000000
52,Romania,2024-03-17 01:13:00.000000
53,Turkey,2024-03-17 01:13:00.000000
54,Cameroon,2024-03-17 01:13:00.000000
55,Hungary,2024-03-17 01:13:00.000000
56,Singapore,2024-03-17 01:13:00.000000
57,Angola,2024-03-17 01:13:00.000000
58,Belgium,2024-03-17 01:13:00.000000
59,Pakistan,2024-03-17 01:13:00.000000
60,Finland,2024-03-17 01:13:00.000000
61,Ghana,2024-03-17 01:13:00.000000
62,Zambia,2024-03-17 01:13:00.000000
63,Iraq,2024-03-17 01:13:00.000000
64,Liberia,2024-03-17 01:13:00.000000
65,Georgia,2024-03-17 01:13:00.000000
66,Switzerland,2024-03-17 01:13:00.000000
67,Albania,2024-03-17 01:13:00.000000
68,Chad,2024-03-17 01:13:00.000000
69,Montenegro,2024-03-17 01:13:00.000000
70,Namibia,2024-03-17 01:13:00.000000
71,Portugal,2024-03-17 01:13:00.000000
72,Madagascar,2024-03-17 01:13:00.000000
73,Sweden,2024-03-17 01:13:00.000000
74,Myanmar (Burma),2024-03-17 01:13:00.000000
75,Jamaica,2024-03-17 01:13:00.000000
76,Greece,2024-03-17 01:13:00.000000
77,Qatar,2024-03-17 01:13:00.000000
78,Republic of the Congo,2024-03-17 01:13:00.000000
79,Norway,2024-03-17 01:13:00.000000
80,Algeria,2024-03-17 01:13:00.000000
81,South Korea,2024-03-17 01:13:00.000000
82,Nigeria,2024-03-17 01:13:00.000000
83,Estonia,2024-03-17 01:13:00.000000
84,Cote d'Ivoire,2024-03-17 01:13:00.000000
85,Honduras,2024-03-17 01:13:00.000000
86,Paraguay,2024-03-17 01:13:00.000000
87,Czech Republic,2024-03-17 01:13:00.000000
88,Central African Republic,2024-03-17 01:13:00.000000
89,Benin,2024-03-17 01:13:00.000000
90,Bolivia,2024-03-17 01:13:00.000000
91,Chile,2024-03-17 01:13:00.000000
92,Martinique,2024-03-17 01:13:00.000000
93,Syria,2024-03-17 01:13:00.000000
94,Lebanon,2024-03-17 01:13:00.000000
95,Kenya,2024-03-17 01:13:00.000000
96,Mali,2024-03-17 01:13:00.000000
97,Libya,2024-03-17 01:13:00.000000
98,Venezuela,2024-03-17 01:13:00.000000
99,Trinidad and Tobago,2024-03-17 01:13:00.000000
100,Ireland,2024-03-17 01:13:00.000000
101,Bulgaria,2024-03-17 01:13:00.000000
102,Panama,2024-03-17 01:13:00.000000
103,Israel,2024-03-17 01:13:00.000000
104,Haiti,2024-03-17 01:13:00.000000
105,Barbados,2024-03-17 01:13:00.000000
106,Slovenia,2024-03-17 01:13:00.000000
107,Togo,2024-03-17 01:13:00.000000
108,Mauritania,2024-03-17 01:13:00.000000
109,Burkina Faso,2024-03-17 01:13:00.000000
110,Guinea,2024-03-17 01:13:00.000000
111,Rwanda,2024-03-17 01:13:00.000000
112,Denmark,2024-03-17 01:13:00.000000
113,Niger,2024-03-17 01:13:00.000000
114,Papua New Guinea,2024-03-17 01:13:00.000000
115,Mongolia,2024-03-17 01:13:00.000000
116,Sudan,2024-03-17 01:13:00.000000
117,Kuwait,2024-03-17 01:13:00.000000
118,Peru,2024-03-17 01:13:00.000000
119,Sierra Leone,2024-03-17 01:13:00.000000
120,Luxembourg,2024-03-17 01:13:00.000000
121,Bosnia and Herzegovina,2024-03-17 01:13:00.000000
122,Guinea-Bissau,2024-03-17 01:13:00.000000
123,Djibouti,2024-03-17 01:13:00.000000
124,Tunisia,2024-03-17 01:13:00.000000
125,Croatia,2024-03-17 01:13:00.000000
126,Hong Kong,2024-03-17 01:13:00.000000
127,Nepal,2024-03-17 01:13:00.000000
128,Guadeloupe,2024-03-17 01:13:00.000000
129,Kyrgyzstan,2024-03-17 01:13:00.000000
130,Zimbabwe,2024-03-17 01:13:00.000000
131,Uzbekistan,2024-03-17 01:13:00.000000
132,South Sudan,2024-03-17 01:13:00.000000
133,Malawi,2024-03-17 01:13:00.000000
134,Gabon,2024-03-17 01:13:00.000000
135,Bahrain,2024-03-17 01:13:00.000000
136,Yemen,2024-03-17 01:13:00.000000
137,Jordan,2024-03-17 01:13:00.000000
138,United Arab Emirates,2024-03-17 01:13:00.000000
139,Moldova,2024-03-17 01:13:00.000000
140,Costa Rica,2024-03-17 01:13:00.000000
141,Swaziland,2024-03-17 01:13:00.000000
142,Western Sahara,2024-03-17 01:13:00.000000
143,Guyana,2024-03-17 01:13:00.000000
144,Serbia,2024-03-17 01:13:00.000000
145,Turkmenistan,2024-03-17 01:13:00.000000
146,Laos,2024-03-17 01:13:00.000000
147,Kazakhstan,2024-03-17 01:13:00.000000
148,Botswana,2024-03-17 01:13:00.000000
149,Ethiopia,2024-03-17 01:13:00.000000
150,Uganda,2024-03-17 01:13:00.000000
151,Slovakia,2024-03-17 01:13:00.000000
152,Sri Lanka,2024-03-17 01:13:00.000000
153,French Guiana,2024-03-17 01:13:00.000000
154,Tajikistan,2024-03-17 01:13:00.000000
155,Burundi,2024-03-17 01:13:00.000000
156,Bhutan,2024-03-17 01:13:00.000000
157,Macedonia,2024-03-17 01:13:00.000000
158,Eritrea,2024-03-17 01:13:00.000000
159,Equatorial Guinea,2024-03-17 01:13:00.000000
160,Belize,2024-03-17 01:13:00.000000
161,Armenia,2024-03-17 01:13:00.000000
162,Oman,2024-03-17 01:13:00.000000
163,Cyprus,2024-03-17 01:13:00.000000
164,Suriname,2024-03-17 01:13:00.000000
165,The Gambia,2024-03-17 01:13:00.000000
